carlength,carwidth,curbweight,enginesize,horsepower,price,Brand
168.8,64.1,2548,130,111,13495.0,1.0
168.8,64.1,2548,130,111,16500.0,1.0
171.2,65.5,2823,152,154,16500.0,1.0
176.6,66.2,2337,109,102,13950.0,1.0
176.6,66.4,2824,136,115,17450.0,1.0
177.3,66.3,2507,136,110,15250.0,1.0
192.7,71.4,2844,136,110,17710.0,1.0
192.7,71.4,2954,136,110,18920.0,1.0
192.7,71.4,3086,131,140,23875.0,1.0
178.2,67.9,3053,131,160,17859.167,1.0
176.8,64.8,2395,108,101,16430.0,2.0
176.8,64.8,2395,108,101,16925.0,2.0
176.8,64.8,2710,164,121,20970.0,2.0
176.8,64.8,2765,164,121,21105.0,2.0
189.0,66.9,3055,164,121,24565.0,2.0
189.0,66.9,3230,209,182,30760.0,2.0
193.8,67.9,3380,209,182,41315.0,2.0
197.0,70.9,3505,209,182,36880.0,2.0
141.1,60.3,1488,61,48,5151.0,0.0
155.9,63.6,1874,90,70,6295.0,0.0
158.8,63.6,1909,90,70,6575.0,0.0
157.3,63.8,1876,90,68,5572.0,0.0
157.3,63.8,1876,90,68,6377.0,0.0
157.3,63.8,2128,98,102,7957.0,0.0
157.3,63.8,1967,90,68,6229.0,0.0
157.3,63.8,1989,90,68,6692.0,0.0
157.3,63.8,1989,90,68,7609.0,0.0
157.3,63.8,2191,98,102,8558.0,0.0
174.6,64.6,2535,122,88,8921.0,0.0
173.2,66.3,2811,156,145,12964.0,0.0
144.6,63.9,1713,92,58,6479.0,0.0
144.6,63.9,1819,92,76,6855.0,0.0
150.0,64.0,1837,79,60,5399.0,0.0
150.0,64.0,1940,92,76,6529.0,0.0
150.0,64.0,1956,92,76,7129.0,0.0
163.4,64.0,2010,92,76,7295.0,0.0
157.1,63.9,2024,92,76,7295.0,0.0
167.5,65.2,2236,110,86,7895.0,0.0
167.5,65.2,2289,110,86,9095.0,0.0
175.4,65.2,2304,110,86,8845.0,0.0
175.4,62.5,2372,110,86,10295.0,0.0
175.4,65.2,2465,110,101,12945.0,0.0
169.1,66.0,2293,110,100,10345.0,0.0
170.7,61.8,2337,111,78,6785.0,0.0
155.9,63.6,1874,90,70,8916.5,0.0
155.9,63.6,1909,90,70,8916.5,0.0
172.6,65.2,2734,119,90,11048.0,0.0
199.6,69.6,4066,258,176,32250.0,2.0
199.6,69.6,4066,258,176,35550.0,2.0
191.7,70.6,3950,326,262,36000.0,2.0
159.1,64.2,1890,91,68,5195.0,0.0
159.1,64.2,1900,91,68,6095.0,0.0
159.1,64.2,1905,91,68,6795.0,0.0
166.8,64.2,1945,91,68,6695.0,0.0
166.8,64.2,1950,91,68,7395.0,0.0
169.0,65.7,2380,70,101,10945.0,0.0
169.0,65.7,2380,70,101,11845.0,0.0
169.0,65.7,2385,70,101,13645.0,0.0
169.0,65.7,2500,80,135,15645.0,0.0
177.8,66.5,2385,122,84,8845.0,0.0
177.8,66.5,2410,122,84,8495.0,0.0
177.8,66.5,2385,122,84,10595.0,0.0
177.8,66.5,2410,122,84,10245.0,0.0
177.8,66.5,2443,122,64,10795.0,0.0
177.8,66.5,2425,122,84,11245.0,0.0
175.0,66.1,2670,140,120,18280.0,0.0
175.0,66.1,2700,134,72,18344.0,0.0
190.9,70.3,3515,183,123,25552.0,2.0
190.9,70.3,3750,183,123,28248.0,2.0
187.5,70.3,3495,183,123,28176.0,2.0
202.6,71.7,3770,183,123,31600.0,2.0
202.6,71.7,3740,234,155,34184.0,2.0
180.3,70.5,3685,234,155,35056.0,2.0
208.1,71.7,3900,308,184,40960.0,2.0
199.2,72.0,3715,304,184,45400.0,2.0
178.4,68.0,2910,140,175,16503.0,1.0
157.3,64.4,1918,92,68,5389.0,0.0
157.3,64.4,1944,92,68,6189.0,0.0
157.3,64.4,2004,92,68,6669.0,0.0
157.3,63.8,2145,98,102,7689.0,0.0
173.0,65.4,2370,110,116,9959.0,0.0
173.0,65.4,2328,122,88,8499.0,0.0
173.2,66.3,2833,156,145,12629.0,0.0
173.2,66.3,2921,156,145,14869.0,0.0
173.2,66.3,2926,156,145,14489.0,0.0
172.4,65.4,2365,122,88,6989.0,0.0
172.4,65.4,2405,122,88,8189.0,0.0
172.4,65.4,2403,110,116,9279.0,0.0
172.4,65.4,2403,110,116,9279.0,0.0
165.3,63.8,1889,97,69,5499.0,0.0
165.3,63.8,2017,103,55,7099.0,0.0
165.3,63.8,1918,97,69,6649.0,0.0
165.3,63.8,1938,97,69,6849.0,0.0
170.2,63.8,2024,97,69,7349.0,0.0
165.3,63.8,1951,97,69,7299.0,0.0
165.6,63.8,2028,97,69,7799.0,0.0
165.3,63.8,1971,97,69,7499.0,0.0
170.2,63.8,2037,97,69,7999.0,0.0
162.4,63.8,2008,97,69,8249.0,0.0
173.4,65.2,2324,120,97,8949.0,0.0
173.4,65.2,2302,120,97,9549.0,0.0
181.7,66.5,3095,181,152,13499.0,0.0
184.6,66.5,3296,181,152,14399.0,0.0
184.6,66.5,3060,181,152,13499.0,0.0
170.7,67.9,3071,181,160,17199.0,0.0
170.7,67.9,3139,181,200,19699.0,0.0
178.5,67.9,3139,181,160,18399.0,0.0
186.7,68.4,3020,120,97,11900.0,1.0
186.7,68.4,3197,152,95,13200.0,1.0
198.9,68.4,3230,120,97,12440.0,1.0
198.9,68.4,3430,152,95,13860.0,1.0
186.7,68.4,3075,120,95,15580.0,1.0
186.7,68.4,3252,152,95,16900.0,1.0
198.9,68.4,3285,120,95,16695.0,1.0
198.9,68.4,3485,152,95,17075.0,1.0
186.7,68.4,3075,120,97,16630.0,1.0
186.7,68.4,3252,152,95,17950.0,1.0
186.7,68.3,3130,134,142,18150.0,1.0
157.3,63.8,1918,90,68,5572.0,0.0
157.3,63.8,2128,98,102,7957.0,0.0
157.3,63.8,1967,90,68,6229.0,0.0
167.3,63.8,1989,90,68,6692.0,0.0
167.3,63.8,2191,98,68,7609.0,0.0
174.6,64.6,2535,122,88,8921.0,0.0
173.2,66.3,2818,156,145,12764.0,0.0
168.9,68.3,2778,151,143,22018.0,2.0
168.9,65.0,2756,194,207,32528.0,2.0
168.9,65.0,2756,194,207,34028.0,2.0
168.9,65.0,2800,194,207,37028.0,2.0
175.7,72.3,3366,203,288,31400.5,2.0
181.5,66.5,2579,132,90,9295.0,0.0
176.8,66.6,2460,132,90,9895.0,0.0
186.6,66.5,2658,121,110,11850.0,1.0
186.6,66.5,2695,121,110,12170.0,1.0
186.6,66.5,2707,121,110,15040.0,1.0
186.6,66.5,2758,121,110,15510.0,1.0
186.6,66.5,2808,121,160,18150.0,1.0
186.6,66.5,2847,121,160,18620.0,1.0
156.9,63.4,2050,97,69,5118.0,0.0
157.9,63.6,2120,108,73,7053.0,0.0
157.3,63.8,2240,108,73,7603.0,0.0
172.0,65.4,2145,108,82,7126.0,0.0
172.0,65.4,2190,108,82,7775.0,0.0
172.0,65.4,2340,108,94,9960.0,0.0
172.0,65.4,2385,108,82,9233.0,0.0
172.0,65.4,2510,108,111,11259.0,0.0
173.5,65.4,2290,108,82,7463.0,0.0
173.5,65.4,2455,108,94,10198.0,0.0
173.6,65.4,2420,108,82,8013.0,0.0
173.6,65.4,2650,108,111,11694.0,0.0
158.7,63.6,1985,92,62,5348.0,0.0
158.7,63.6,2040,92,62,6338.0,0.0
158.7,63.6,2015,92,62,6488.0,0.0
169.7,63.6,2280,92,62,6918.0,0.0
169.7,63.6,2290,92,62,7898.0,0.0
169.7,63.6,3110,92,62,8778.0,0.0
166.3,64.4,2081,98,70,6938.0,0.0
166.3,64.4,2109,98,70,7198.0,0.0
166.3,64.4,2275,110,56,7898.0,0.0
166.3,64.4,2275,110,56,7788.0,0.0
166.3,64.4,2094,98,70,7738.0,0.0
166.3,64.4,2122,98,70,8358.0,0.0
166.3,64.4,2140,98,70,9258.0,0.0
168.7,64.0,2169,98,70,8058.0,0.0
168.7,64.0,2204,98,70,8238.0,0.0
168.7,64.0,2265,98,112,9298.0,0.0
168.7,64.0,2300,98,112,9538.0,0.0
176.2,65.6,2540,146,116,8449.0,0.0
176.2,65.6,2536,146,116,9639.0,0.0
176.2,65.6,2551,146,116,9989.0,0.0
176.2,65.6,2679,146,116,11199.0,0.0
176.2,65.6,2714,146,116,11549.0,0.0
176.2,65.6,2975,146,116,17669.0,0.0
175.6,66.5,2326,122,92,8948.0,0.0
175.6,66.5,2480,110,73,10698.0,0.0
175.6,66.5,2414,122,92,9988.0,0.0
175.6,66.5,2414,122,92,10898.0,0.0
175.6,66.5,2458,122,92,11248.0,0.0
183.5,67.7,2976,171,161,16558.0,0.0
183.5,67.7,3016,171,161,15998.0,0.0
187.8,66.5,3131,171,156,15690.0,0.0
187.8,66.5,3151,161,156,15750.0,1.0
171.7,65.5,2261,97,52,7775.0,0.0
171.7,65.5,2209,109,85,7975.0,0.0
171.7,65.5,2264,97,52,7995.0,0.0
171.7,65.5,2212,109,85,8195.0,0.0
171.7,65.5,2275,109,85,8495.0,0.0
171.7,65.5,2319,97,68,9495.0,0.0
171.7,65.5,2300,109,100,9995.0,0.0
159.3,64.2,2254,109,90,11595.0,0.0
165.7,64.0,2221,109,90,9980.0,0.0
180.2,66.9,2661,136,110,13295.0,0.0
180.2,66.9,2579,97,68,13845.0,0.0
183.1,66.9,2563,109,88,12290.0,0.0
188.8,67.2,2912,141,114,12940.0,1.0
188.8,67.2,3034,141,114,13415.0,1.0
188.8,67.2,2935,141,114,15985.0,1.0
188.8,67.2,3042,141,114,16515.0,1.0
188.8,67.2,3045,130,162,18420.0,1.0
188.8,67.2,3157,130,162,18950.0,1.0
188.8,68.9,2952,141,114,16845.0,1.0
188.8,68.8,3049,141,160,19045.0,1.0
188.8,68.9,3012,173,134,21485.0,1.0
188.8,68.9,3217,145,106,22470.0,1.0
188.8,68.9,3062,141,114,22625.0,1.0
